#,Movie Name,Year of Release,Watch Time,Movie Rating,Description(synopsis),genre,showmax_url
198,Barakat,2020,1h 43m,6.6,"An aging matriarch aims to bring together her fractured, dysfunctional family over Eid-al-Fitr to break the news about her new romance.",Comedy,https://www.showmax.com/za/stream/movies/barakat/d2d1c2af-a9d7-3f66-bbbf-6f1a4f89e56b
199,Barbarians,2021,1h 29m,7.2,"Iwan Rheon (Ramsy Bolton in Game of Thrones) stars in this mystery thriller. Secrets emerge, and unsettling events unfold for four friends during a birthday celebration.",Horror,https://www.showmax.com/za/stream/movies/barbarians/cf5021fc-be70-37a7-b2ec-15017a2bea5d
200,Barbie,2023,1h 49m,6.8,An all-star rendition of Mattel's Barbie doll. Barbie (Margot Robbie) and Ken (Ryan Gosling) embark on an epic adventure into the human world and discover shocking truths.,Fantasy,https://www.showmax.com/za/stream/movies/barbie/e797efb6-d2f7-3461-ab34-07f5a9c3e53a
201,Bargain Bride,13,1h 27m,,"A middle-aged man is ready to marry his long-term girlfriend.  But he has to ensure his older sister is married too, so he places an advertisement in a newspaper.",Comedy,https://www.showmax.com/za/stream/movies/bargain-bride/20b59ca6-0d3c-3b0d-8a88-ccf9a888919d
202,Barrister No Case,2022,2h 55m,,A group of fake barristers take over a community and serve fake judgment to the citizens.,Drama,https://www.showmax.com/za/stream/movies/barrister-no-case/abd6803b-b892-37bf-b7a2-b5433266e2c8
203,Bata,2023,2h 11m,,"A wealthy young man, known for his generosity to friends, is tragically murdered and his wife and elder brother are being blamed for his death.",Drama,https://www.showmax.com/za/stream/movies/bata/b0b9a388-6023-3405-9975-c899b34acd0f
204,Battle For Saipan,2022,1h 34m,3.8,An action-packed WWII drama. A surgeon defends a hospital from invading Japanese forces in the Battle of Saipan. 2022,Action,https://www.showmax.com/za/stream/movies/battle-for-saipan/de1eab62-9f7f-3e55-910e-5766a2e1ad19
205,Baywatch,2017,1h 51m,5.5,Dwayne Johnson and Zac Efron lose their shirts for this hilarious reboot of the 90s TV classic. A veteran lifeguard and a new recruit clash as they attempt to stop a criminal plot. 2017,Action,https://www.showmax.com/za/stream/movies/baywatch/9f305f2f-3fff-3fc3-bfd1-2901e216a5fc
206,Bean,1997,1h 27m,6.5,Britain's beloved Mr Bean gets his first movie. More hilarious and bumbling antics ensue when Bean is dispatched to LA to deliver an extremely valuable painting. 1997,Comedy,https://www.showmax.com/za/stream/movies/bean/19c59402-42b3-334a-8f7d-5e513bffecb7
207,Beautiful Disaster,2023,1h 35m,5.3,Based on a book of the same name by Jamie McGuire. Follow the life of a college freshman who tries to distance herself from her dark past while resisting her attraction to a bad boy.,Romance,https://www.showmax.com/za/stream/movies/beautiful-disaster/9206c5b5-4198-3407-bd75-273b8426e1ad
208,Beautiful Imperfection,2023,1h 57m,6.4,"After finding love, a woman faces the challenges of child bearing, which threatens her happiness.",Drama,https://www.showmax.com/za/stream/movies/beautiful-imperfection/cd4126b6-fa14-36c9-977e-83fc2479c617
209,Beauty Of Wife Material,2022,3h 16m,,"After getting married for three years, the pressure of getting a child increase in her home as her mother in-law suggests surrogacy.",Drama,https://www.showmax.com/za/stream/movies/beauty-of-wife-material/f768667a-bfd6-32c7-8bef-bfe7899ea021
210,Because Of Jennifer,2023,2h 54m,,Jennifer's arrogant and stubborn demeanor is something everyone has to endure. It takes a turn for the worse when Jennifer decides to deceive her twin sister.,Drama,https://www.showmax.com/za/stream/movies/because-of-jennifer/57c11a86-048e-3582-9910-2d946bc07b4f
